-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       64.868s     14349.28%       64.868s       12.974s           0 B           0 B           0 B           0 B             5  
                                            aten::copy_        15.04%        9.778s        31.93%       20.760s     697.102us      81.506ms        18.03%     129.225ms       4.339us           0 B      -2.11 GB           0 B           0 B         29780  
                                aten::cudnn_convolution         0.44%     282.977ms         0.60%     389.373ms      96.499us      77.711ms        17.19%      77.782ms      19.277us           0 B           0 B       2.62 GB       2.62 GB          4035  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      51.960ms        11.49%      51.960ms       6.761us           0 B           0 B           0 B           0 B          7685  
                                            aten::addmm         0.71%     463.117ms         0.95%     619.501ms      65.799us      50.143ms        11.09%      50.166ms       5.328us           0 B           0 B      58.06 MB      58.06 MB          9415  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us      28.423ms         6.29%      28.423ms       5.058us           0 B           0 B           0 B           0 B          5620  
                             aten::convolution_backward         0.02%      10.001ms         0.03%      22.091ms     122.730us      25.885ms         5.73%      28.284ms     157.135us           0 B           0 B       1.35 GB       1.33 GB           180  
sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize64x64...         0.00%       0.000us         0.00%       0.000us       0.000us      23.531ms         5.21%      23.531ms       4.525us           0 B           0 B           0 B           0 B          5200  
sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us      20.920ms         4.63%      20.920ms      16.280us           0 B           0 B           0 B           0 B          1285  
