-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       74.290s     13842.84%       74.290s       14.858s           0 B           0 B           0 B           0 B             5  
## Call CompiledFxGraph fgtzgqsa4kr5etfy27f6dlbwigfq...         0.00%       0.000us         0.00%       0.000us       0.000us     332.078ms        61.88%     332.078ms     258.426us           0 B           0 B           0 B           0 B          1285  
                                            aten::copy_         3.81%        2.845s         4.61%        3.440s     120.248us     151.025ms        28.14%     151.074ms       5.280us           0 B           0 B           0 B           0 B         28610  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     119.331ms        22.24%     119.331ms      92.865us           0 B           0 B           0 B           0 B          1285  
                             Torch-Compiled Region: 0/1         0.28%     212.713ms         1.17%     872.026ms     678.620us     110.729ms        20.63%     122.367ms      95.227us           0 B           0 B           0 B           0 B          1285  
## Call CompiledFxGraph fn3edifk7jf6mszq2ck6rzzy6r67...         0.00%       0.000us         0.00%       0.000us       0.000us      83.539ms        15.57%      83.539ms     668.314us           0 B           0 B           0 B           0 B           125  
                               CompiledFunctionBackward         0.03%      23.861ms         0.11%      85.733ms     685.865us      59.856ms        11.15%      60.092ms     480.732us           0 B           0 B           0 B           0 B           125  
## Call CompiledFxGraph f2qrv6bp6kp5k5uqanlobi5re7wp...         0.00%       0.000us         0.00%       0.000us       0.000us      44.194ms         8.23%      44.194ms     353.552us           0 B           0 B           0 B           0 B           125  
                                       CompiledFunction         0.02%      14.374ms         0.07%      50.596ms     404.766us      26.616ms         4.96%      29.726ms     237.809us           0 B           0 B           0 B           0 B           125  
